"REPORT_DAT","num_Property","Crime_rate"
"2016/01",2075,14246.43125
"2016/02",1985,13628.51375
"2016/03",2465,16924.07375
"2016/04",2437,16731.83275
"2016/05",2794,19182.9055
"2016/06",2899,19903.80925
"2016/07",2895,19876.34625
"2016/08",2737,18791.55775
"2016/09",2755,18915.14125
"2016/10",3034,20830.6855
"2016/11",2732,18757.229
"2016/12",2717,18654.24275
"2017/01",2584,17976.65544
"2017/02",2091,14546.89881
"2017/03",2022,14066.87202
"2017/04",2339,16272.21249
"2017/05",2719,18915.83829
"2017/06",2488,17308.79208
"2017/07",2478,17239.22298
"2017/08",2454,17072.25714
"2017/09",2437,16953.98967
"2017/10",2538,17656.63758
"2017/11",2307,16049.59137
"2017/12",2246,15625.21986
"2018/01",2179,15306.49445
"2018/02",1877,13185.08035
"2018/03",2039,14323.05745
"2018/04",2034,14287.9347
"2018/05",2406,16901.0673
"2018/06",2512,17645.6696
"2018/07",2771,19465.02805
"2018/08",2972,20876.9626
"2018/09",2849,20012.94295
"2018/10",2905,20406.31775
"2018/11",2527,17751.03785
"2018/12",2601,18270.85455
"2019/01",2398,16924.05286
"2019/02",2055,14503.30635
"2019/03",2192,15470.19344
"2019/04",2241,15816.01437
"2019/05",2342,16528.82894
"2019/06",2472,17446.31304
"2019/07",2643,18653.15751
"2019/08",2712,19140.12984
"2019/09",2665,18808.42405
"2019/10",2827,19951.75039
"2019/11",2571,18145.01247
"2019/12",2640,18631.9848
"2020/01",2616,18038.4972
"2020/02",2264,15611.2988
"2020/03",1952,13459.9184
"2020/04",1407,9701.89815
"2020/05",1534,10577.6203
"2020/06",1913,13190.99585
"2020/07",1717,11839.48765
"2020/08",2086,14383.9087
"2020/09",2225,15342.37625
"2020/10",2118,14604.5631
"2020/11",2014,13887.4363
"2020/12",2062,14218.4179
"2021/01",1770,11859.885
"2021/02",1478,9903.339
"2021/03",1666,11163.033
"2021/04",1623,10874.9115
"2021/05",2134,14298.867
"2021/06",2144,14365.872
"2021/07",2268,15196.734
"2021/08",2239,15002.4195
"2021/09",2422,16228.611
"2021/10",2431,16288.9155
"2021/11",1993,13354.0965
"2021/12",2056,13776.228
