Year,Month,Temperature,Precipitation,REPORT_DAT
2016,01,34.9,2.68,2016/01
2016,02,39.9,3.79,2016/02
2016,03,53.5,1.16,2016/03
2016,04,56.9,2.05,2016/04
2016,05,63.9,5.65,2016/05
2016,06,76.2,3.68,2016/06
2016,07,82.7,3.13,2016/07
2016,08,82.7,2.79,2016/08
2016,09,76.0,2.5,2016/09
2016,10,63.1,0.9,2016/10
2016,11,52.6,0.76,2016/11
2016,12,41.8,2.61,2016/12
2017,01,42.1,2.75,2017/01
2017,02,47.7,0.68,2017/02
2017,03,47.2,3.19,2017/03
2017,04,63.8,2.62,2017/04
2017,05,65.5,5.55,2017/05
2017,06,77.3,1.13,2017/06
2017,07,81.7,9.15,2017/07
2017,08,77.4,4.58,2017/08
2017,09,72.5,1.43,2017/09
2017,10,64.9,2.02,2017/10
2017,11,49.8,2.0,2017/11
2017,12,39.2,0.5,2017/12
2018,01,35.7,0.94,2018/01
2018,02,45.3,4.79,2018/02
2018,03,43.6,1.92,2018/03
2018,04,54.9,3.59,2018/04
2018,05,72.4,8.73,2018/05
2018,06,76.2,5.21,2018/06
2018,07,80.7,9.73,2018/07
2018,08,81.0,5.19,2018/08
2018,09,75.5,9.73,2018/09
2018,10,62.6,3.06,2018/10
2018,11,46.5,7.57,2018/11
2018,12,43.5,5.82,2018/12
2019,01,37.2,3.3,2019/01
2019,02,42.2,3.52,2019/02
2019,03,46.8,4.0,2019/03
2019,04,62.4,2.24,2019/04
2019,05,71.0,4.97,2019/05
2019,06,76.4,4.27,2019/06
2019,07,82.1,6.49,2019/07
2019,08,80.1,1.99,2019/08
2019,09,76.5,0.25,2019/09
2019,10,64.1,6.66,2019/10
2019,11,46.1,1.37,2019/11
2019,12,42.1,3.28,2019/12
2020,01,42.4,2.79,2020/01
2020,02,43.8,3.21,2020/02
2020,03,53.2,2.31,2020/03
2020,04,55.3,6.3,2020/04
2020,05,63.8,2.49,2020/05
2020,06,77.0,3.51,2020/06
2020,07,83.9,6.51,2020/07
2020,08,79.6,8.73,2020/08
2020,09,70.2,5.53,2020/09
2020,10,61.9,4.86,2020/10
2020,11,54.3,6.14,2020/11
2020,12,41.4,4.96,2020/12
2021,01,38.6,1.93,2021/01
2021,02,37.8,4.66,2021/02
2021,03,51.2,3.8,2021/03
2021,04,58.2,2.2,2021/04
2021,05,66.1,3.77,2021/05
2021,06,76.6,5.51,2021/06
2021,07,80.9,4.24,2021/07
2021,08,80.9,9.07,2021/08
2021,09,73.2,4.03,2021/09
2021,10,66.3,3.27,2021/10
2021,11,47.9,0.98,2021/11
2021,12,47.6,0.63,2021/12
